OrderDate,CustomerID,ProductCategory,SalesAmount,ProfitMargin,Region
2024-11-12,6f8e4ced,Electronics,69.22,20.01,Central
2024-07-10,41c67a25,Home Appliances,446.71,5.63,Central
2024-12-10,d8daa191,Electronics,27.26,5.88,North
2025-01-21,be12abab,Home Appliances,186.61,24.49,North
2024-10-07,5c368c51,Electronics,221.3,26.81,Central
2024-12-07,77f4b985,Clothing,12.18,24.78,Central
2024-05-19,c2ec9cbb,Clothing,192.76,22.78,East
2024-09-05,84897033,Electronics,414.98,26.46,North
2024-03-21,8404edd5,Electronics,92.52,10.09,Central
2024-08-06,32d82813,Electronics,147.93,7.15,South
2024-10-01,fe932940,Home Appliances,448.38,22.52,West
2024-11-09,124e4bcb,Clothing,211.76,11.53,West
2024-05-18,80faf4c4,Groceries,167.39,7.95,West
2024-05-09,afd28699,Electronics,82.2,9.42,Central
2024-09-06,5973cff7,Home Appliances,190.92,25.04,South
2025-02-08,0baa8408,Groceries,21.35,16.32,West
2024-06-01,cdb3a191,Clothing,284.32,9.25,East
2024-10-10,0d0c04e6,Groceries,31.35,8.05,North
2025-02-19,ff636f05,Clothing,430.55,27.94,Central
2024-09-20,63a68964,Clothing,29.77,9.09,South
2024-06-03,2d3c73ec,Groceries,264.77,14.76,North
2024-09-22,418c3e92,Books,266.61,10.93,West
2025-02-04,40eb083a,Clothing,323.6,27.48,North
2024-07-04,d9c3a092,Home Appliances,306.32,24.24,Central
2024-07-12,3f4e8a69,Electronics,415.88,20.85,West
2024-12-31,f5a0dd06,Groceries,190.69,10.0,East
2024-05-18,242182ff,Clothing,80.24,28.02,West
2024-08-29,bd743b21,Clothing,444.68,8.04,Central
2024-12-22,513b167b,Books,452.38,6.87,East
2025-01-21,f5575409,Groceries,306.16,19.88,West
2024-10-03,771adc9a,Groceries,196.38,23.37,East
2024-09-15,b512cddb,Books,10.93,9.42,East
2024-07-22,4d16721b,Electronics,258.75,26.43,East
2025-01-06,bb601520,Groceries,211.4,9.24,North
2024-03-25,14e1ca4d,Groceries,197.89,28.14,Central
2024-12-11,e7e87ede,Clothing,426.73,26.92,Central
2025-02-19,e76ee8fc,Groceries,19.18,13.66,East
2025-03-12,415f588a,Electronics,326.66,8.71,Central
2024-09-16,3dd8ec0e,Groceries,50.17,9.01,Central
2024-12-21,39e9262d,Electronics,236.99,12.98,North
2024-12-07,00aeab68,Groceries,396.42,15.58,North
2024-03-18,2fb3e846,Groceries,284.71,9.31,East
2025-01-25,1b26d5e0,Books,300.24,27.85,Central
2024-07-18,d4ebe67b,Books,355.55,12.31,Central
2024-05-05,eb680f34,Books,97.54,22.29,Central
2024-07-25,db1e7cd7,Clothing,76.16,7.75,East
2024-07-17,8ecdce71,Clothing,78.96,8.73,West
2025-03-02,f88aa02d,Clothing,468.17,27.12,North
2025-02-08,c03223a3,Home Appliances,336.68,24.65,Central
2024-05-03,ceb39c23,Electronics,303.87,9.42,East
2024-08-12,ddacb55c,Clothing,137.54,15.98,North
2024-12-25,7ed9ea17,Electronics,488.54,6.64,South
2024-07-23,d44b5e58,Clothing,278.72,24.47,North
2025-02-08,ff8eb712,Clothing,324.76,23.03,South
2024-09-30,76321e4c,Clothing,21.66,24.26,North
2024-11-22,6ace987a,Groceries,232.33,17.06,North
2024-04-26,b5814157,Home Appliances,395.1,24.32,West
2024-04-05,e1856492,Books,125.76,9.38,South
2024-10-21,98be20e8,Groceries,34.93,7.45,North
2025-03-01,85c4bf75,Clothing,351.42,7.81,North
2025-02-13,c08961fd,Electronics,350.91,16.89,South
2024-12-12,35cf4598,Electronics,170.2,20.96,North
2025-02-05,30e0d601,Electronics,393.65,7.96,West
2024-07-28,96ebd982,Books,435.77,9.27,West
2024-08-05,77a55cc4,Groceries,240.8,9.95,East
2025-02-25,9bf82d87,Books,467.03,24.58,North
2024-09-05,b47ea24a,Books,488.09,9.16,North
2025-02-06,4d420e07,Home Appliances,465.65,18.15,East
2025-01-02,79327eb2,Electronics,439.78,6.87,North
2025-01-24,bfd218f0,Home Appliances,281.42,22.24,West
2025-02-02,a41c5033,Groceries,161.93,5.89,Central
2024-06-27,a5445a08,Books,373.71,23.19,East
2024-07-26,32c47f7c,Electronics,465.64,5.13,East
2025-02-20,cfc964fa,Home Appliances,154.22,13.25,West
2024-05-07,23b02ac9,Electronics,102.42,12.86,North
2024-04-20,90a989b2,Clothing,386.83,14.14,East
2024-07-28,2f51ca40,Home Appliances,480.34,17.07,East
2024-07-28,aa9a759a,Books,466.36,29.99,Central
2024-06-01,ee472d90,Electronics,332.16,13.76,East
2024-07-12,a53e118f,Books,76.15,23.31,East
2024-10-18,e8f6b417,Books,16.83,25.7,East
2024-12-21,f1e69933,Groceries,263.09,18.52,Central
2025-03-12,35cf5703,Clothing,360.18,29.74,East
2024-03-26,32c72b1c,Electronics,444.13,12.89,West
2025-03-08,28307b7e,Groceries,293.04,10.23,East
2024-11-05,a37937ed,Home Appliances,17.62,5.93,West
2025-01-09,f4b52463,Home Appliances,24.6,28.04,South
2025-01-07,edd4a47e,Groceries,356.17,29.56,North
2024-06-06,a0f9c3e9,Home Appliances,395.1,5.91,North
2024-06-01,7d1e5461,Groceries,213.74,19.61,West
2024-07-10,8f01eb2b,Groceries,312.96,24.27,North
2024-06-20,b76852cc,Electronics,401.97,8.53,Central
2025-03-14,3aa78422,Clothing,307.95,26.43,West
2025-01-16,f26aefd8,Clothing,496.75,23.61,North
2024-05-12,917e5a4c,Electronics,356.68,17.12,South
2024-04-05,8d466763,Electronics,86.61,23.47,Central
2024-08-22,3e60439d,Books,441.25,9.88,East
2024-06-25,06e29c1f,Electronics,91.15,11.22,North
2025-02-16,15cd99b6,Electronics,448.33,7.94,West
2024-09-07,2bdaa582,Home Appliances,226.57,20.0,East
2024-08-12,a46f1a3c,Clothing,440.52,13.11,East
2024-05-22,7b028e77,Groceries,322.63,24.8,West
2025-01-08,bdbe8644,Groceries,440.81,23.53,North
2024-06-25,55b2094e,Electronics,39.56,9.2,North
2024-06-08,56e881d0,Home Appliances,467.13,29.04,West
2024-03-19,df1be593,Groceries,442.15,11.12,North
2024-11-05,16fd08f5,Clothing,449.45,12.72,East
2025-01-06,976f00d1,Electronics,350.82,28.96,West
2024-08-31,5d03340e,Home Appliances,44.1,14.98,North
2024-06-25,6a1aec1c,Groceries,445.92,17.05,West
2025-03-16,46f9e456,Home Appliances,388.72,12.44,East
2025-01-20,52877836,Groceries,95.79,18.89,East
2024-08-06,5abb75e1,Home Appliances,147.76,16.11,North
2024-06-14,960c1087,Books,460.63,22.18,South
2024-11-12,59e340ed,Home Appliances,18.9,18.04,East
2024-07-11,89ddf1a7,Groceries,117.7,14.92,Central
2025-02-06,61ccf871,Clothing,222.12,17.57,West
2024-07-05,d45056b9,Groceries,13.7,20.24,North
2025-02-17,c661d341,Groceries,305.99,19.66,South
2025-02-27,5889e9d7,Groceries,150.38,21.18,North
2024-10-19,b07efc3d,Electronics,19.84,26.65,West
2024-04-23,f88eba9b,Groceries,311.56,26.35,West
2024-05-11,3354fbea,Clothing,275.08,19.49,Central
2024-08-31,53559008,Home Appliances,110.27,28.41,West
2025-03-08,5bb4bef0,Electronics,14.94,13.76,South
2024-12-09,e4f4e98c,Electronics,308.69,10.56,West
2025-03-16,76abb08c,Groceries,222.82,16.1,West
2025-02-11,ec75577d,Groceries,383.79,23.07,South
2025-03-08,2b310dda,Home Appliances,114.8,13.17,Central
2024-09-16,8fd48217,Clothing,88.22,5.49,West
2025-02-17,530be3c8,Home Appliances,150.42,28.56,South
2024-06-07,ef2c8706,Groceries,362.13,16.54,Central
2024-11-08,e4e1f2d2,Books,108.27,14.35,South
2024-07-09,c15f8d8d,Electronics,226.51,9.25,West
2024-12-20,6361f63e,Electronics,446.7,15.75,East
2025-02-22,82f1e454,Books,102.32,21.39,South
2024-11-10,7cc3f673,Home Appliances,331.36,14.19,South
2024-10-13,dc466b05,Books,348.68,23.37,West
2024-05-02,0b0a1195,Books,187.76,21.14,West
2024-06-15,1959d034,Books,191.65,6.36,East
2024-07-04,0f63fbc2,Groceries,213.32,25.02,East
2024-04-21,dd55f821,Books,414.97,11.41,North
2024-09-15,2dee9a8b,Books,123.78,17.41,North
2024-04-06,f4625d92,Clothing,99.49,18.85,West
2024-06-27,e657a00d,Groceries,144.55,6.5,South
2024-09-17,997c3e2c,Books,317.27,26.06,Central
2025-03-05,18d20981,Books,127.81,12.95,East
2024-05-05,b8628633,Home Appliances,162.47,27.17,South
2024-06-24,1e897993,Home Appliances,237.55,6.67,West
2024-10-26,74cdc95c,Home Appliances,415.66,8.71,West
2024-12-20,60fed4ae,Home Appliances,385.1,16.02,South
2025-01-03,2d4cb85d,Clothing,53.56,5.86,East
2025-03-12,8afbb494,Books,135.25,27.81,West
2024-07-12,08b20d57,Electronics,190.48,24.21,North
2024-08-29,f562dcbd,Home Appliances,90.85,26.25,Central
2024-09-20,0c13ea7f,Electronics,152.9,18.94,East
2025-03-11,2ad779e5,Home Appliances,14.78,17.44,East
2025-03-13,09722829,Books,491.12,7.68,West
2025-01-06,2a41f9c8,Electronics,128.08,26.98,West
2024-10-19,8003ef4f,Home Appliances,151.99,25.7,South
2024-06-12,ea01060c,Home Appliances,155.81,11.93,West
2024-08-03,cc4d3583,Groceries,32.51,25.53,Central
2024-04-15,984c430d,Clothing,155.66,8.27,East
2024-04-30,af33260d,Books,444.05,13.96,North
2024-12-03,cd78ca13,Groceries,37.72,12.38,South
2025-01-06,1ef16dca,Groceries,259.49,21.96,West
2024-09-22,73f5ad64,Books,316.05,14.17,West
2025-03-11,159954cf,Books,10.16,29.47,East
2024-10-25,5a012b89,Groceries,460.06,19.31,North
2025-01-11,34552c3e,Books,146.16,13.89,East
2024-09-01,e83d1d55,Home Appliances,67.08,19.06,West
2024-10-19,67525073,Home Appliances,374.08,27.64,North
2024-07-31,6296cbdc,Books,459.71,20.83,East
2024-09-24,a6dc0c48,Groceries,38.01,23.16,West
2024-07-22,8a57263a,Home Appliances,459.07,16.61,West
2024-12-14,9f71cad0,Groceries,240.97,24.24,Central
2024-09-07,9cfc0546,Electronics,107.79,26.12,South
2024-12-04,88e21c7c,Books,127.49,9.97,South
2024-08-24,bcad10fe,Clothing,224.45,18.34,North
2024-03-24,99e72466,Electronics,160.31,11.78,East
2024-06-11,e8b5e961,Home Appliances,336.62,26.45,South
2024-11-23,3e8f849f,Electronics,191.36,16.64,Central
2024-04-11,1f2bd9ec,Books,263.35,7.34,North
2024-06-07,f3c523dd,Groceries,37.08,7.99,Central
2024-06-07,633c9433,Electronics,371.93,7.69,North
2025-02-24,d6ee8b1f,Groceries,297.75,10.16,West
2024-11-30,94e122d1,Home Appliances,206.7,10.89,North
2024-10-02,7b032d08,Clothing,378.37,21.99,West
2025-01-12,230975cd,Electronics,241.52,21.58,Central
2024-03-17,39914554,Books,334.58,6.82,Central
2024-04-30,4b5701d1,Home Appliances,256.76,14.78,West
2024-11-08,fe66bfd3,Clothing,356.95,12.71,South
2025-02-09,5f7ee1ee,Books,228.79,16.68,North
2024-05-07,beffe54c,Clothing,100.08,15.74,East
2025-03-11,df4958a6,Groceries,367.4,5.06,North
2024-11-04,4359d94c,Clothing,415.33,22.44,East
2024-09-23,184a67a8,Groceries,99.84,17.99,West
2024-04-26,392bc684,Clothing,362.72,17.96,Central
2024-12-31,540a7a95,Electronics,474.38,26.06,South
2024-10-30,a0db5e4d,Home Appliances,211.86,11.72,East
2024-05-12,b4e3a33e,Home Appliances,128.69,5.48,East
2024-12-15,9604d939,Clothing,482.7,16.33,Central
2024-08-27,3abd3cb8,Home Appliances,106.7,8.02,Central
2024-12-20,df38859d,Books,28.35,13.64,East
2024-07-21,0ea0ce23,Electronics,14.87,21.19,North
2024-12-06,a5a7fdd7,Electronics,323.53,14.93,East
2025-02-14,29e5618b,Groceries,64.17,8.15,East
2024-12-23,2ba640a4,Home Appliances,197.0,10.64,South
2025-01-06,74595444,Electronics,125.02,7.57,West
2024-11-18,d5569699,Home Appliances,238.23,5.76,West
2024-03-25,5f95b606,Books,97.92,11.56,Central
2025-01-21,0b350b65,Books,113.04,14.46,Central
2024-11-04,a0d0a7d4,Books,439.28,14.61,East
2024-09-15,7baada11,Books,290.93,13.29,West
2024-03-23,442d52c9,Home Appliances,134.64,16.33,North
2025-01-03,39b6d642,Books,321.35,13.52,South
2024-12-17,53378a9f,Clothing,397.55,15.7,Central
2025-02-16,1263cfd1,Home Appliances,282.78,24.41,West
2024-06-09,08c21265,Home Appliances,420.59,6.39,South
2024-08-28,e20b7fdd,Electronics,87.52,21.23,North
2025-03-17,2d6861e5,Home Appliances,212.15,18.24,North
2024-04-10,386290df,Groceries,188.2,22.66,West
2024-07-22,1a6bf629,Electronics,44.98,9.3,Central
2024-05-20,da29dc30,Books,207.6,12.62,West
2024-03-31,8c8e9891,Electronics,443.43,17.89,North
2024-10-09,2d2bc4de,Electronics,179.39,13.84,North
2024-08-08,28c03d3c,Books,415.1,10.18,East
2024-05-11,0631bbb9,Electronics,485.68,26.16,North
2024-12-24,08805af1,Clothing,14.65,8.77,Central
2024-12-19,af12def6,Clothing,241.8,28.33,East
2024-08-02,a0c5d4dc,Home Appliances,149.37,21.1,Central
2025-01-21,18c3c0d3,Home Appliances,99.33,13.38,North
2024-10-11,821b0c61,Electronics,124.1,28.54,East
2024-11-16,72672ab1,Clothing,283.44,26.4,East
2025-01-02,3f1c1a25,Groceries,67.34,18.36,South
2024-12-27,39484d75,Groceries,448.23,29.9,West
2024-11-04,71fc8ee6,Books,429.77,8.04,North
2024-09-03,8e96edb6,Books,350.96,13.38,Central
2024-03-29,a8f512c6,Electronics,313.58,26.27,East
2024-06-04,c5b58ed5,Clothing,345.22,18.93,West
2024-03-21,926b6a93,Books,244.66,11.88,South
2024-08-03,3d6aae23,Home Appliances,258.7,12.79,East
2024-05-19,957ac431,Books,211.88,25.95,West
2024-11-09,9df8a495,Groceries,375.1,18.0,North
2024-07-17,dc2358c2,Clothing,50.15,20.24,North
2025-01-23,b7e1bb7e,Clothing,20.58,9.19,East
2024-08-18,e25a4710,Home Appliances,161.22,6.13,East
2024-07-16,5b8c46ab,Electronics,170.84,24.03,Central
2024-10-30,12326e63,Groceries,44.42,15.17,South
2024-12-03,d5c224f1,Groceries,77.05,7.08,East
2024-12-04,859c27bb,Home Appliances,393.25,12.85,East
2024-06-22,c7ab1306,Home Appliances,301.17,18.76,South
2024-11-13,c0f76659,Books,327.13,9.27,East
2025-03-11,32d1733f,Electronics,261.13,8.63,West
2024-10-12,e7a7bd1a,Books,266.37,28.21,South
2024-03-21,1d86a75b,Groceries,47.09,21.65,West
2024-08-22,b72eea89,Clothing,427.59,27.66,North
2024-10-28,b32b17fc,Home Appliances,167.0,20.55,East
2024-11-28,66e51aec,Home Appliances,454.77,21.47,East
2024-06-27,5e338225,Groceries,309.0,28.72,Central
2024-06-20,f5914439,Books,232.9,27.03,South
2024-08-01,f2484faa,Books,62.18,12.89,East
2024-05-01,bf0f373b,Books,185.81,11.43,East
2024-05-19,e0bcebd8,Groceries,260.28,16.66,North
2024-08-31,ea66fdf9,Home Appliances,455.56,5.7,West
2024-11-18,5164c555,Clothing,82.12,25.51,South
2024-05-30,dabfbd68,Clothing,53.13,27.37,North
2024-12-14,fa550804,Home Appliances,444.7,20.01,North
2024-07-25,1cf2214c,Electronics,463.77,8.95,West
2024-08-26,7ba6e672,Clothing,494.46,26.71,Central
2024-04-10,9eab9238,Books,419.85,12.84,South
2024-12-03,bb0a0f23,Clothing,235.14,28.49,Central
2024-09-04,9d1fed1d,Books,114.63,17.05,North
2024-06-11,aa940cba,Home Appliances,369.75,12.3,South
2024-09-19,fb9f1307,Electronics,361.11,26.27,North
2024-05-20,94c2dca8,Home Appliances,15.17,14.23,West
2024-06-14,cfdd32ac,Clothing,109.73,7.58,Central
2024-08-08,e63b8ad9,Home Appliances,90.8,7.93,East
2024-09-28,8e0f1195,Home Appliances,305.71,21.05,West
2025-01-03,f82abb17,Books,491.81,22.34,East
2024-06-06,4f127e9b,Electronics,450.59,26.73,South
2024-04-10,84f1468b,Clothing,82.43,5.75,Central
2024-06-22,e50c8382,Clothing,173.12,21.05,North
2025-01-24,6f6ec584,Groceries,237.72,24.78,East
2024-12-04,0340f197,Books,264.32,10.45,North
2024-10-16,f291ead2,Groceries,423.18,16.43,West
2024-07-11,061ad5c0,Home Appliances,462.57,17.57,West
2024-08-14,d89481d0,Electronics,272.53,12.89,South
2024-08-23,24f4d648,Books,237.09,29.85,Central
2024-08-20,cb7a3d43,Books,392.75,24.01,West
2025-01-24,6e7e0076,Clothing,374.78,16.52,North
2024-05-12,c5d32ab0,Books,480.13,9.87,West
2024-12-14,6e246dd6,Electronics,370.95,22.69,South
2025-02-04,70eecf22,Clothing,24.21,18.35,West
2025-01-23,36e1d9d5,Clothing,490.21,17.68,Central
2025-01-02,35244f8d,Clothing,492.74,20.97,East
2025-01-12,99654028,Home Appliances,422.11,28.39,East
2025-02-11,4f4a6f72,Electronics,356.7,18.41,East
2024-08-09,c950c309,Clothing,65.79,17.57,North
2025-01-15,68a077af,Books,236.05,22.28,West
2024-08-29,25588e84,Home Appliances,91.0,19.43,East
2024-12-07,72575dc8,Groceries,334.98,19.81,North
2024-06-17,6ac372e1,Home Appliances,18.78,13.1,Central
2024-11-06,a274b049,Electronics,484.64,11.94,Central
2024-07-11,9691e29c,Electronics,50.95,20.01,Central
2024-05-15,18e424e8,Clothing,245.93,6.41,East
2025-01-26,19cbecf9,Books,206.45,27.98,West
2024-06-18,b4c27fe2,Clothing,19.18,5.6,Central
2024-08-29,8e396450,Groceries,224.85,5.09,North
2025-01-03,be36bab2,Clothing,205.68,15.8,South
2024-10-06,766624b4,Books,74.35,19.67,East
2024-08-25,b7af737c,Electronics,272.43,5.36,South
2024-06-18,4ab469f9,Groceries,31.92,11.62,North
2024-10-09,5d2dd46c,Books,67.14,14.35,Central
2024-04-30,64429236,Clothing,432.57,9.12,East
2024-09-05,1e89c1e3,Electronics,357.13,26.07,South
2024-10-10,9c16745a,Clothing,377.06,25.15,West
2024-07-22,ff6ce9f5,Groceries,290.78,21.01,East
2024-11-23,55fb4c6a,Groceries,386.33,18.17,South
2024-09-19,2d02fd88,Home Appliances,307.92,29.9,South
2024-04-06,3ff3bd04,Electronics,209.44,29.09,West
2024-07-31,61fe668a,Electronics,138.84,20.87,West
2024-04-30,a244cf34,Groceries,373.72,16.73,South
2024-12-05,f9db9372,Home Appliances,303.92,21.78,South
2025-03-03,a60a70a8,Electronics,74.61,27.77,West
2024-03-25,bdbdb985,Clothing,68.43,23.98,East
2024-07-04,709504a0,Home Appliances,133.22,22.94,South
2024-04-06,2e4c88b4,Groceries,34.57,5.75,South
2024-07-06,921a92b4,Groceries,182.63,9.23,South
2024-10-09,000e0a7c,Clothing,86.39,8.52,East
2024-06-15,65669090,Electronics,172.07,16.59,South
2024-06-26,0453e13b,Clothing,122.03,25.56,South
2025-01-20,186ff54f,Electronics,58.19,6.38,East
2024-09-24,6f922d96,Clothing,426.53,9.51,West
2024-10-30,ee08e644,Groceries,445.16,23.49,South
2025-02-02,0983aa97,Electronics,16.0,11.12,South
2024-09-16,26ca8dd5,Books,67.62,9.5,East
2024-06-14,cb791907,Books,174.9,19.33,North
2025-01-14,5e4e3ae9,Electronics,50.51,13.75,South
2024-03-28,ff48ef6a,Books,482.22,27.92,South
2024-08-18,eb45d56d,Groceries,320.61,5.98,North
2024-08-01,919ae544,Groceries,125.3,23.56,West
2024-10-12,9d7ad9ae,Home Appliances,344.55,10.39,Central
2025-03-06,68b1cd97,Clothing,129.33,16.73,South
2025-03-13,0b30db93,Groceries,347.27,27.79,South
2024-12-30,6a1d4511,Groceries,12.46,5.81,Central
2024-06-23,e24f0a6f,Electronics,193.14,22.95,East
2024-06-20,9d772076,Groceries,130.39,21.65,South
2025-01-23,c9a56ad7,Clothing,390.99,17.62,East
2024-12-10,266a7e7a,Clothing,382.5,18.08,North
2025-01-21,1a1e9e5d,Books,159.01,5.14,East
2025-01-30,c3535b1f,Clothing,483.52,10.38,West
2025-03-15,e11da375,Home Appliances,35.91,14.69,South
2024-05-07,7ce076b7,Home Appliances,272.61,8.1,North
2024-03-29,ecb55b53,Clothing,176.82,17.51,South
2025-01-16,0444035b,Electronics,83.86,24.07,West
2024-10-26,5daf6df1,Electronics,95.49,28.93,East
2024-04-15,18f81f90,Home Appliances,283.03,20.5,West
2025-02-08,6050d20a,Home Appliances,54.74,13.93,South
2025-02-04,0c169934,Electronics,112.04,27.82,Central
2024-11-15,70e98b83,Electronics,323.68,11.46,South
2024-05-26,8ab2eb3c,Home Appliances,366.03,10.17,East
2025-02-16,94827a2d,Electronics,107.69,11.77,West
2024-07-21,0f2060d9,Books,333.31,19.93,South
2025-03-11,62a283f4,Clothing,418.92,20.12,North
2024-12-19,582f8c87,Books,492.74,20.53,West
2024-06-16,ad99deb4,Home Appliances,78.84,23.77,West
2024-08-30,255f4cce,Electronics,104.77,8.59,South
2024-04-04,8bee59e3,Home Appliances,391.76,6.84,North
2025-02-12,e8e7906d,Groceries,406.87,24.04,South
2025-03-10,eb5eeef1,Electronics,66.24,15.8,South
2024-03-27,9c225d89,Books,131.11,9.4,East
2024-08-27,292f83ce,Clothing,42.89,28.36,West
2024-12-28,ab752f42,Books,401.49,15.35,South
2025-02-19,b5f68271,Clothing,474.62,5.44,West
2025-01-02,ee129adb,Books,57.63,24.67,East
2024-08-27,c52a4454,Books,345.17,24.43,South
2025-01-17,cd94fb0f,Groceries,323.41,19.58,Central
2024-05-29,700124ea,Clothing,403.4,14.97,Central
2024-12-19,1be6475c,Electronics,128.44,27.52,North
2025-03-03,67ed3648,Electronics,440.95,26.87,East
2024-08-06,446741c6,Home Appliances,211.87,17.95,West
2024-11-13,84511244,Home Appliances,260.94,7.67,South
2024-12-15,81d73d1a,Home Appliances,348.11,27.93,West
2024-12-30,3317587f,Clothing,430.81,27.46,Central
2024-06-04,12415567,Books,207.28,16.17,South
2025-02-17,c3787092,Home Appliances,96.35,16.57,East
2024-11-18,009d4ae7,Groceries,176.48,23.92,North
2024-06-01,573f9bc2,Home Appliances,135.72,20.44,Central
2024-10-18,dd13a436,Electronics,454.9,5.3,Central
2024-06-08,f7d176ab,Clothing,412.92,12.0,North
2024-06-10,ab6f8719,Books,190.16,5.32,Central
2024-04-25,11db69e7,Groceries,147.85,23.97,Central
2024-06-05,db80b710,Electronics,385.96,8.03,North
2024-10-16,ecb2de6a,Books,372.44,9.6,South
2024-12-29,fa925c00,Home Appliances,11.22,8.11,North
2024-12-17,5e8c68d8,Books,142.35,29.22,East
2024-08-01,85285e18,Electronics,426.58,20.52,West
2025-03-06,e2d9ff05,Clothing,281.57,21.05,South
2024-09-05,02c8b31e,Electronics,444.44,29.04,South
2024-09-11,3dfdd972,Groceries,65.67,19.53,North
2024-07-23,cd56dda6,Groceries,66.76,15.37,East
2025-02-03,559534a3,Groceries,496.5,24.11,East
2025-02-05,fbab45bc,Books,394.87,7.58,South
2025-01-06,182ef9fd,Clothing,216.33,6.54,Central
2024-12-15,7d07d566,Electronics,115.28,11.08,Central
2024-09-14,07aab3f6,Groceries,290.96,16.93,West
2024-06-14,f31366e3,Electronics,416.23,18.26,Central
2024-10-01,23d057d2,Groceries,406.35,6.34,North
2024-05-04,19f2f7d4,Books,429.56,26.28,South
2024-04-05,417f1933,Groceries,429.18,9.02,North
2024-12-03,dc9d643e,Home Appliances,48.8,29.94,Central
2024-07-28,4b63f59d,Books,78.21,28.92,South
2024-07-24,d7cc751c,Electronics,413.86,21.37,South
2024-09-30,0cd6e024,Groceries,488.74,24.44,South
2024-05-02,6a452743,Home Appliances,274.88,25.35,South
2024-05-09,91e4ca90,Home Appliances,166.41,29.52,North
2024-04-29,4dd7db4f,Clothing,159.04,22.5,North
2024-09-03,74573a56,Clothing,429.45,14.71,East
2024-06-25,503bcdde,Clothing,286.83,23.3,West
2024-06-09,cc954b13,Home Appliances,190.03,6.63,North
2025-01-26,51e8ae48,Electronics,294.86,7.54,South
2024-05-27,2efff2db,Books,328.14,24.18,East
2024-05-22,cdbb240d,Books,158.72,24.98,Central
2025-01-15,f3a7b449,Books,236.75,11.76,North
2025-02-25,519c4e85,Home Appliances,310.65,17.22,South
2024-05-24,f69be239,Home Appliances,99.78,14.9,South
2024-11-30,96060d6d,Clothing,262.71,13.55,East
2024-03-21,91e007bb,Home Appliances,240.54,6.03,North
2024-09-15,9fe45fd5,Home Appliances,29.67,24.49,North
2025-01-21,99864f61,Clothing,484.72,7.7,Central
2024-04-08,cc03b579,Clothing,12.76,11.86,South
2025-03-01,55ab27c9,Clothing,391.88,8.72,West
2024-10-20,4cb3cec9,Groceries,94.73,8.47,Central
2024-10-01,359af61b,Electronics,16.61,25.96,West
2024-05-11,23b517e6,Clothing,350.41,21.47,West
2024-06-23,ff2c59b9,Clothing,181.61,25.7,East
2024-12-13,f1c99de5,Clothing,96.46,10.7,West
2024-04-20,8e3033fe,Electronics,246.33,9.55,North
2024-10-29,40013ffb,Books,387.34,29.59,South
2024-11-19,1d46c773,Books,106.46,20.33,East
2024-07-13,da052314,Books,86.08,5.92,West
2025-02-16,954de6fe,Clothing,212.93,5.66,North
2024-06-14,e62fe50e,Groceries,84.06,15.06,West
2024-04-10,e8cc5878,Books,272.85,7.02,South
2025-02-11,28ced633,Books,64.11,14.98,East
2024-05-17,084f3a3f,Home Appliances,328.37,13.89,Central
2024-04-23,0d77e304,Home Appliances,177.13,16.91,East
2024-08-21,493f8145,Groceries,325.85,21.98,East
2025-02-02,c9b84682,Groceries,309.97,8.39,North
